2026-05-20 16:38:20 | INFO     | app.routers.tenants | Logger initialized successfully for module: app.routers.tenants
2026-05-20 16:38:20 | INFO     | app.main | Logger initialized successfully for module: app.main
2026-05-20 16:38:20 | INFO     | app.main | Admin UI FastAPI application initialization started
2026-05-20 16:38:20 | DEBUG    | app.main | Creating FastAPI application instance
2026-05-20 16:38:20 | INFO     | app.main | FastAPI application instance created successfully
2026-05-20 16:38:20 | DEBUG    | app.main | Initializing database metadata
2026-05-20 16:38:20 | INFO     | app.main | Database metadata initialized successfully
2026-05-20 16:38:20 | DEBUG    | app.main | Executing initial setup process
2026-05-20 16:38:20 | INFO     | app.services.auth_service | Initial application setup started
2026-05-20 16:38:20 | DEBUG    | app.db.session | Database session requested
2026-05-20 16:38:20 | INFO     | app.db.session | Database session created successfully
2026-05-20 16:38:20 | DEBUG    | app.services.auth_service | Checking admin role existence
2026-05-20 16:38:20 | DEBUG    | app.services.auth_service | Checking tenant role existence
2026-05-20 16:38:20 | INFO     | app.services.auth_service | Role setup completed successfully
2026-05-20 16:38:20 | INFO     | app.services.auth_service | Default user and tenant setup completed
2026-05-20 16:38:20 | DEBUG    | app.services.auth_service | Loading configuration YAML
2026-05-20 16:38:20 | INFO     | app.services.tenant_service | Configuration YAML loading initiated
2026-05-20 16:38:20 | DEBUG    | app.services.tenant_service | Resolved config path: D:\OneDrive - REDINGTON\Work\Code\RAG\s1_rag_engine\admin_ui_api\config.yaml
2026-05-20 16:38:20 | DEBUG    | app.services.tenant_service | Opening configuration YAML file
2026-05-20 16:38:20 | INFO     | app.services.tenant_service | Configuration YAML loaded successfully
2026-05-20 16:38:20 | INFO     | app.services.auth_service | Configuration YAML loaded successfully
2026-05-20 16:38:20 | INFO     | app.services.tenant_service | Building configuration sections initiated
2026-05-20 16:38:20 | INFO     | app.services.tenant_service | Configuration sections built successfully. Count: 5
2026-05-20 16:38:20 | INFO     | app.services.auth_service | Initial application setup completed successfully
2026-05-20 16:38:20 | DEBUG    | app.services.auth_service | Closing setup database session
2026-05-20 16:38:20 | DEBUG    | app.services.auth_service | Setup database session closed
2026-05-20 16:38:20 | INFO     | app.main | Initial setup process completed successfully
2026-05-20 16:38:20 | DEBUG    | app.main | Registering auth router
2026-05-20 16:38:20 | INFO     | app.main | Auth router registered successfully
2026-05-20 16:38:20 | DEBUG    | app.main | Registering tenants router
2026-05-20 16:38:20 | INFO     | app.main | Tenants router registered successfully
2026-05-20 16:38:20 | INFO     | app.main | Admin UI FastAPI application initialized successfully
2026-05-20 16:39:06 | INFO     | app.routers.auth | Login API invoked for username: redington-ecommerce-17
2026-05-20 16:39:06 | DEBUG    | app.routers.auth | Authenticating user: redington-ecommerce-17
2026-05-20 16:39:06 | INFO     | app.services.auth_service | Authentication initiated for username: redington-ecommerce-17
2026-05-20 16:39:06 | INFO     | app.services.auth_service | Loading user by username: redington-ecommerce-17
2026-05-20 16:39:06 | DEBUG    | app.db.session | Database session requested
2026-05-20 16:39:06 | INFO     | app.db.session | Database session created successfully
2026-05-20 16:39:06 | DEBUG    | app.services.auth_service | Executing user lookup query for username: redington-ecommerce-17
2026-05-20 16:39:06 | INFO     | app.services.auth_service | User loaded successfully for username: redington-ecommerce-17
2026-05-20 16:39:06 | DEBUG    | app.services.auth_service | Closing user lookup database session
2026-05-20 16:39:06 | DEBUG    | app.services.auth_service | User lookup database session closed
2026-05-20 16:39:06 | DEBUG    | app.core.security | Password verification initiated
2026-05-20 16:39:06 | INFO     | app.core.security | Password verification successful
2026-05-20 16:39:06 | INFO     | app.services.auth_service | Authentication successful for username: redington-ecommerce-17
2026-05-20 16:39:06 | DEBUG    | app.routers.auth | Generating access token for username: redington-ecommerce-17
2026-05-20 16:39:06 | INFO     | app.services.auth_service | Login process initiated for username: redington-ecommerce-17
2026-05-20 16:39:06 | INFO     | app.services.auth_service | Authentication initiated for username: redington-ecommerce-17
2026-05-20 16:39:06 | INFO     | app.services.auth_service | Loading user by username: redington-ecommerce-17
2026-05-20 16:39:06 | DEBUG    | app.db.session | Database session requested
